"Type","Variables","Density_Network","Cardinality","Mean(Time)","Mean(F1)","Mean(Precision)","Mean(Recall)"
0,3,0.1,2,6.8119000000000005,1,1,1
0,3,0.1,3,8.365799999999998,1,1,1
0,3,0.1,4,9.901599999999998,1,1,1
0,3,0.2,2,7.3506,1,1,1
0,3,0.2,3,8.126700000000001,1,1,1
0,3,0.2,4,10.129499999999998,1,1,1
0,3,0.3,2,6.7187,0.9799999999999999,0.9666999999999999,1
0,3,0.3,3,8.4963,1,1,1
0,3,0.3,4,9.640500000000001,1,1,1
0,3,0.4,2,6.6156,1,1,1
0,3,0.4,3,8.299,1,1,1
0,3,0.4,4,10.142799999999998,1,1,1
0,4,0.1,2,8.493799999999998,1,1,1
0,4,0.1,3,11.152599999999996,1,1,1
0,4,0.1,4,14.034299999999998,1,1,1
0,4,0.2,2,9.7802,1,1,1
0,4,0.2,3,10.746099999999998,1,1,1
0,4,0.2,4,13.968699999999998,1,1,1
0,4,0.3,2,8.2154,1,1,1
0,4,0.3,3,11.638700000000002,1,1,1
0,4,0.3,4,14.422299999999998,1,1,1
0,4,0.4,2,8.131,0.9923000000000001,0.9856999999999998,1
0,4,0.4,3,11.1477,1,1,1
0,4,0.4,4,14.422399999999998,1,1,1
0,5,0.1,2,10.8492,0.9908999999999999,0.9832999999999997,1
0,5,0.1,3,15.853900000000001,1,1,1
0,5,0.1,4,20.51,1,1,1
0,5,0.2,2,11.7739,0.9923,0.9856999999999999,1
0,5,0.2,3,16.6582,1,1,1
0,5,0.2,4,20.2848,1,1,1
0,5,0.3,2,10.441199999999998,1,1,1
0,5,0.3,3,16.1407,1,1,1
0,5,0.3,4,21.2224,1,1,1
0,5,0.4,2,10.405399999999997,1,1,1
0,5,0.4,3,16.0827,1,1,1
0,5,0.4,4,21.576999999999998,1,1,1
0,6,0.1,2,13.9567,0.9732999999999999,0.9674999999999999,0.9799999999999999
0,6,0.1,3,21.6342,1,1,1
0,6,0.1,4,28.814999999999998,1,1,1
0,6,0.2,2,13.1467,1,1,1
0,6,0.2,3,22.0027,1,1,1
0,6,0.2,4,29.423699999999997,1,1,1
0,6,0.3,2,13.494,0.9947,0.9899999999999999,1
0,6,0.3,3,23.3838,1,1,1
0,6,0.3,4,30.6413,1,1,1
0,6,0.4,2,14.331599999999998,1,1,1
0,6,0.4,3,23.370199999999997,1,1,1
0,6,0.4,4,32.3221,1,1,1
0,10,0.1,2,39.778666666666666,0.9886666666666666,0.9776666666666667,1
0,10,0.1,3,69.62866666666666,1,1,1
0,10,0.1,4,101.84033333333332,1,1,1
0,10,0.2,2,40.187666666666665,1,1,1
0,10,0.2,3,77.18933333333332,1,1,1
0,10,0.2,4,109.83633333333333,1,1,1
0,10,0.3,2,42.41166666666666,1,1,1
0,10,0.3,3,79.27433333333333,1,1,1
0,10,0.3,4,113.41166666666666,0.9643333333333333,1,0.9353333333333333
0,10,0.4,2,44.902,1,1,1
0,10,0.4,3,88.24266666666665,0.9766666666666666,1,0.956
0,10,0.4,4,121.90733333333331,0.8816666666666666,1,0.7903333333333333
0,15,0.1,2,120.25633333333332,0.9893333333333332,0.9793333333333332,1
0,15,0.1,3,225.566,1,1,1
0,15,0.1,4,329.6886666666666,0.9613333333333333,1,0.9306666666666666
0,15,0.2,2,139.3503333333333,1,1,1
0,15,0.2,3,274.19499999999994,0.9703333333333333,1,0.9456666666666667
0,15,0.2,4,410.2106666666666,0.9749999999999999,1,0.9533333333333331
0,15,0.3,2,146.72299999999998,0.9973333333333333,0.9946666666666666,1
0,15,0.3,3,273.0516666666666,0.9353333333333333,1,0.8839999999999999
0,15,0.3,4,339.36833333333334,1,1,1
0,15,0.4,2,155.18733333333333,1,1,1
0,15,0.4,3,287.8843333333333,0.8116666666666665,1,0.6916666666666667
0,15,0.4,4,384.4873333333333,0.5773333333333333,1,0.41566666666666663
0,20,0.1,2,296.44399999999996,1,1,1
0,20,0.1,3,639.0256666666667,1,1,1
0,20,0.2,2,328.186,1,1,1
0,20,0.2,3,753.8886666666666,0.9829999999999999,1,0.9673333333333333
0,20,0.3,2,378.698,1,1,1
0,20,0.3,3,691.829,0.6896666666666667,1,0.5403333333333333
0,20,0.4,2,428.779,0.9636666666666666,1,0.9313333333333332
0,20,0.4,3,579.254,0.381,1,0.23666666666666664
1,3,0.1,2,5.181499999999999,1,1,1
1,3,0.1,3,5.6311,0.9799999999999999,0.9666999999999999,1
1,3,0.1,4,6.2291,1,1,1
1,3,0.2,2,5.216400000000001,1,1,1
1,3,0.2,3,5.852399999999999,1,1,1
1,3,0.2,4,6.415800000000001,0.9457,0.9084,1
1,3,0.3,2,5.253099999999999,1,1,1
1,3,0.3,3,5.928100000000001,1,1,1
1,3,0.3,4,6.321400000000001,1,1,1
1,3,0.4,2,5.204,1,1,1
1,3,0.4,3,6.069799999999999,1,1,1
1,3,0.4,4,6.4323999999999995,1,1,1
1,4,0.1,2,5.708,1,1,1
1,4,0.1,3,6.430000000000001,1,1,1
1,4,0.1,4,7.7059,0.96,0.9333999999999999,1
1,4,0.2,2,5.664299999999999,0.9889,1,0.9799999999999999
1,4,0.2,3,6.5615,1,1,1
1,4,0.2,4,7.728799999999999,1,1,1
1,4,0.3,2,5.7702,0.9812,1,0.9656999999999999
1,4,0.3,3,6.8146,1,1,1
1,4,0.3,4,8.078100000000001,0.9798,0.9632999999999998,1
1,4,0.4,2,5.737799999999999,1,1,1
1,4,0.4,3,6.771699999999999,1,1,1
1,4,0.4,4,8.0538,1,1,1
1,5,0.1,2,6.4199,0.9856999999999999,1,0.975
1,5,0.1,3,8.1528,1,1,1
1,5,0.1,4,10.4237,0.9923000000000001,0.9857,1
1,5,0.2,2,6.622799999999998,1,1,1
1,5,0.2,3,8.374399999999998,1,1,1
1,5,0.2,4,10.5807,0.9875,0.9777999999999999,1
1,5,0.3,2,6.762899999999999,0.9551,1,0.9178999999999999
1,5,0.3,3,8.497200000000001,1,1,1
1,5,0.3,4,11.351099999999999,1,1,1
1,5,0.4,2,6.715999999999999,0.9956999999999999,1,0.9917
1,5,0.4,3,8.9494,1,1,1
1,5,0.4,4,11.668299999999999,0.9721999999999998,0.9482,1
1,6,0.1,2,7.4886,0.9812,1,0.9656999999999999
1,6,0.1,3,10.656499999999998,1,1,1
1,6,0.1,4,14.071999999999997,0.9377,0.8888999999999998,1
1,6,0.2,2,7.7179,1,1,1
1,6,0.2,3,10.796400000000002,0.9889,0.9799999999999999,1
1,6,0.2,4,14.745599999999998,0.9606999999999998,0.9296999999999999,1
1,6,0.3,2,7.7112,0.9881999999999999,1,0.9778
1,6,0.3,3,11.574899999999998,1,1,1
1,6,0.3,4,15.451499999999998,1,1,1
1,6,0.4,2,8.007000000000001,0.9888999999999998,1,0.9799999999999999
1,6,0.4,3,12.461500000000001,1,1,1
1,6,0.4,4,15.8622,0.9957,0.9917,1
1,10,0.1,2,17.318333333333335,1,1,1
1,10,0.1,3,31.930999999999997,1,1,1
1,10,0.1,4,52.461,0.9289999999999999,0.8686666666666667,1
1,10,0.2,2,18.615000000000002,0.9689999999999999,1,0.9393333333333331
1,10,0.2,3,39.70766666666667,1,1,1
1,10,0.2,4,59.656333333333336,0.9926666666666666,0.9856666666666665,1
1,10,0.3,2,20.744,0.972,1,0.9466666666666667
1,10,0.3,3,39.980999999999995,0.9769999999999999,1,0.9569999999999999
1,10,0.3,4,59.77966666666666,0.9706666666666666,1,0.9463333333333332
1,10,0.4,2,23.096999999999998,0.9713333333333333,1,0.9446666666666665
1,10,0.4,3,53.74166666666667,0.9509999999999998,1,0.9093333333333333
1,10,0.4,4,70.31466666666667,0.907,1,0.8299999999999998
1,15,0.1,2,49.51599999999999,0.9586666666666666,1,0.9203333333333333
1,15,0.1,3,94.98766666666667,1,1,1
1,15,0.1,4,162.1903333333333,0.9769999999999999,0.9833333333333332,0.9723333333333333
1,15,0.2,2,57.90533333333333,0.9343333333333332,1,0.8786666666666666
1,15,0.2,3,122.71599999999998,0.9396666666666667,1,0.8879999999999999
1,15,0.2,4,183.52233333333334,0.9673333333333333,1,0.938
1,15,0.3,2,67.822,0.8983333333333333,1,0.8163333333333332
1,15,0.3,3,137.03366666666665,0.8856666666666666,1,0.7979999999999998
1,15,0.3,4,158.31799999999998,0.9623333333333333,0.968,0.96
1,15,0.4,2,67.58966666666666,0.7256666666666667,1,0.5693333333333334
1,15,0.4,3,136.718,0.693,1,0.5389999999999999
1,15,0.4,4,205.7403333333333,0.643,0.99,0.48
1,20,0.1,2,110.14666666666666,0.9903333333333333,1,0.9809999999999999
1,20,0.1,3,266.51266666666663,1,1,1
1,20,0.2,2,141.80733333333333,0.9033333333333333,1,0.8266666666666667
1,20,0.2,3,338.44266666666664,0.9406666666666667,1,0.8896666666666666
1,20,0.3,2,167.28133333333335,0.7633333333333332,1,0.619
1,20,0.3,3,327.712,0.6323333333333334,1,0.474
1,20,0.4,2,147.73466666666667,0.45066666666666666,1,0.29133333333333333
1,20,0.4,3,291.2366666666667,0.27799999999999997,1,0.16266666666666665
