"Constraint","Variables","Cardinality","F1","Precision","Recall","Time"
0,3,2,1,1,1,4.0257999999999985
0,3,3,1,1,1,4.059624999999998
0,3,4,1,1,1,5.032325
0,4,2,1,1,1,4.541999999999999
0,4,3,1,1,1,5.2256750000000025
0,4,4,1,1,1,6.8572250000000015
0,5,2,0.9977250000000002,1,0.995825,5.302325
0,5,3,1,1,1,6.924850000000002
0,5,4,1,1,1,9.512150000000004
0,6,2,0.9957499999999999,1,0.992225,6.648375
0,6,3,1,1,1,9.384700000000002
0,6,4,1,1,1,13.672625000000002
0,10,2,1,1,1,17.952083333333334
0,10,3,0.9665833333333331,1,0.9414999999999999,29.735000000000003
0,10,4,0.9280833333333331,1,0.8787499999999999,44.27875
0,15,2,1,1,1,60.03308333333332
0,15,3,0.8226666666666665,1,0.7339166666666666,90.13433333333332
0,15,4,0.8011666666666666,1,0.7290833333333333,127.28500000000003
0,20,2,0.9825833333333333,1,0.9680833333333333,168.34008333333333
0,20,3,0.6570833333333331,1,0.5752499999999999,223.3818333333333
1,3,2,1,1,1,0.18495000000000003
1,3,3,0.9517499999999999,0.92005,1,0.36892500000000006
1,3,4,0.8490500000000001,0.7538500000000001,1,0.5913999999999998
1,4,2,0.9980750000000002,0.996425,1,0.4874999999999999
1,4,3,0.941875,0.9007999999999998,1,1.0396000000000003
1,4,4,0.8510500000000001,0.7588500000000001,1,1.6322750000000001
1,5,2,1,1,1,1.1191499999999996
1,5,3,0.9381250000000002,0.8918249999999999,1,2.463775000000001
1,5,4,0.8309249999999999,0.7214999999999999,1,3.7679000000000014
1,6,2,0.9934250000000001,1,0.9877750000000001,2.042
1,6,3,0.9514499999999999,0.914,1,4.605500000000003
1,6,4,0.8206250000000003,0.7052250000000001,1,7.081675000000001
1,10,2,0.9852500000000001,0.9950833333333332,0.9754999999999999,14.210833333333333
1,10,3,0.96825,0.9504166666666666,0.9885833333333331,31.737833333333327
1,10,4,0.8570833333333334,0.7832499999999999,0.9697499999999999,47.90641666666666
1,15,2,0.9600833333333333,1,0.9252499999999999,75.84225
1,15,3,0.9298333333333332,0.9604999999999999,0.9130833333333332,247.83891666666665
1,15,4,0.8135833333333333,0.7752499999999999,0.9085833333333332,185.1528333333333
1,20,2,0.8993333333333333,1,0.8349166666666666,232.5326666666666
1,20,3,0.8226666666666668,0.9722499999999997,0.7596666666666665,371.7641666666666
